event_id,symbol,transaction_type,quantity
evt-0738,TATASTEEL,SELL,35
evt-0739,ADANIENT,BUY,20
evt-0740,ASIANPAINT,SELL,5
evt-0741,RELIANCE,BUY,90
evt-0742,TCS,SELL,75
evt-0743,HDFCBANK,BUY,60
evt-0744,ICICIBANK,SELL,45
evt-0745,INFY,BUY,30
evt-0746,BHARTIARTL,SELL,15
evt-0747,SBIN,BUY,100
evt-0748,LT,SELL,85
evt-0749,ITC,BUY,70
evt-0750,HINDUNILVR,SELL,55
evt-0751,AXISBANK,BUY,40
evt-0752,KOTAKBANK,SELL,25
evt-0753,BAJFINANCE,BUY,10
evt-0754,MARUTI,SELL,95
evt-0755,SUNPHARMA,BUY,80
evt-0756,NTPC,SELL,65
evt-0757,TATAMOTORS,BUY,50
evt-0758,TATASTEEL,SELL,35
evt-0759,ADANIENT,BUY,20
evt-0760,ASIANPAINT,SELL,5
evt-0761,RELIANCE,BUY,90
evt-0762,TCS,SELL,75
evt-0763,HDFCBANK,BUY,60
evt-0764,ICICIBANK,SELL,45
evt-0765,INFY,BUY,30
evt-0766,BHARTIARTL,SELL,15
evt-0767,SBIN,BUY,100
evt-0768,LT,SELL,85
evt-0769,ITC,BUY,70
evt-0770,HINDUNILVR,SELL,55
evt-0771,AXISBANK,BUY,40
evt-0772,KOTAKBANK,SELL,25
evt-0773,BAJFINANCE,BUY,10
evt-0774,MARUTI,SELL,95
evt-0775,SUNPHARMA,BUY,80
evt-0776,NTPC,SELL,65
evt-0777,TATAMOTORS,BUY,50
evt-0778,TATASTEEL,SELL,35
evt-0779,ADANIENT,BUY,20
evt-0780,ASIANPAINT,SELL,5
evt-0781,RELIANCE,BUY,90
evt-0782,TCS,SELL,75
evt-0783,HDFCBANK,BUY,60
evt-0784,ICICIBANK,SELL,45
evt-0785,INFY,BUY,30
evt-0786,BHARTIARTL,SELL,15
evt-0787,SBIN,BUY,100
evt-0788,LT,SELL,85
evt-0789,ITC,BUY,70
evt-0790,HINDUNILVR,SELL,55
evt-0791,AXISBANK,BUY,40
evt-0792,KOTAKBANK,SELL,25
evt-0793,BAJFINANCE,BUY,10
evt-0794,MARUTI,SELL,95
evt-0795,SUNPHARMA,BUY,80
evt-0796,NTPC,SELL,65
evt-0797,TATAMOTORS,BUY,50
evt-0798,TATASTEEL,SELL,35
evt-0799,ADANIENT,BUY,20
evt-0800,ASIANPAINT,SELL,5
evt-0801,RELIANCE,BUY,90
evt-0802,TCS,SELL,75
evt-0803,HDFCBANK,BUY,60
evt-0804,ICICIBANK,SELL,45
evt-0805,INFY,BUY,30
evt-0806,BHARTIARTL,SELL,15
evt-0807,SBIN,BUY,100
evt-0808,LT,SELL,85
evt-0809,ITC,BUY,70
evt-0810,HINDUNILVR,SELL,55
evt-0811,AXISBANK,BUY,40
evt-0812,KOTAKBANK,SELL,25
evt-0813,BAJFINANCE,BUY,10
evt-0814,MARUTI,SELL,95
evt-0815,SUNPHARMA,BUY,80
evt-0816,NTPC,SELL,65
evt-0817,TATAMOTORS,BUY,50
evt-0818,TATASTEEL,SELL,35
evt-0819,ADANIENT,BUY,20
evt-0820,ASIANPAINT,SELL,5
evt-0821,RELIANCE,BUY,90
evt-0822,TCS,SELL,75
evt-0823,HDFCBANK,BUY,60
evt-0824,ICICIBANK,SELL,45
evt-0825,INFY,BUY,30
evt-0826,BHARTIARTL,SELL,15
evt-0827,SBIN,BUY,100
evt-0828,LT,SELL,85
evt-0829,ITC,BUY,70
evt-0830,HINDUNILVR,SELL,55
evt-0831,AXISBANK,BUY,40
evt-0832,KOTAKBANK,SELL,25
evt-0833,BAJFINANCE,BUY,10
evt-0834,MARUTI,SELL,95
evt-0835,SUNPHARMA,BUY,80
evt-0836,NTPC,SELL,65
evt-0837,TATAMOTORS,BUY,50
evt-0838,TATASTEEL,SELL,35
evt-0839,ADANIENT,BUY,20
evt-0840,ASIANPAINT,SELL,5
evt-0841,RELIANCE,BUY,90
evt-0842,TCS,SELL,75
evt-0843,HDFCBANK,BUY,60
evt-0844,ICICIBANK,SELL,45
evt-0845,INFY,BUY,30
evt-0846,BHARTIARTL,SELL,15
evt-0847,SBIN,BUY,100
evt-0848,LT,SELL,85
evt-0849,ITC,BUY,70
evt-0850,HINDUNILVR,SELL,55
evt-0851,AXISBANK,BUY,40
evt-0852,KOTAKBANK,SELL,25
evt-0853,BAJFINANCE,BUY,10
evt-0854,MARUTI,SELL,95
evt-0855,SUNPHARMA,BUY,80
evt-0856,NTPC,SELL,65
evt-0857,TATAMOTORS,BUY,50
evt-0858,TATASTEEL,SELL,35
evt-0859,ADANIENT,BUY,20
evt-0860,ASIANPAINT,SELL,5
evt-0861,RELIANCE,BUY,90
evt-0862,TCS,SELL,75
evt-0863,HDFCBANK,BUY,60
evt-0864,ICICIBANK,SELL,45
evt-0865,INFY,BUY,30
evt-0866,BHARTIARTL,SELL,15
evt-0867,SBIN,BUY,100
evt-0868,LT,SELL,85
evt-0869,ITC,BUY,70
evt-0870,HINDUNILVR,SELL,55
evt-0871,AXISBANK,BUY,40
evt-0872,KOTAKBANK,SELL,25
evt-0873,BAJFINANCE,BUY,10
evt-0874,MARUTI,SELL,95
evt-0875,SUNPHARMA,BUY,80
evt-0876,NTPC,SELL,65
evt-0877,TATAMOTORS,BUY,50
evt-0878,TATASTEEL,SELL,35
evt-0879,ADANIENT,BUY,20
evt-0880,ASIANPAINT,SELL,5
evt-0881,RELIANCE,BUY,90
evt-0882,TCS,SELL,75
evt-0883,HDFCBANK,BUY,60
evt-0884,ICICIBANK,SELL,45
evt-0885,INFY,BUY,30
evt-0886,BHARTIARTL,SELL,15
evt-0887,SBIN,BUY,100
evt-0888,LT,SELL,85
evt-0889,ITC,BUY,70
evt-0890,HINDUNILVR,SELL,55
evt-0891,AXISBANK,BUY,40
evt-0892,KOTAKBANK,SELL,25
evt-0893,BAJFINANCE,BUY,10
evt-0894,MARUTI,SELL,95
evt-0895,SUNPHARMA,BUY,80
evt-0896,NTPC,SELL,65
evt-0897,TATAMOTORS,BUY,50
evt-0898,TATASTEEL,SELL,35
evt-0899,ADANIENT,BUY,20
evt-0900,ASIANPAINT,SELL,5
evt-0901,RELIANCE,BUY,90
evt-0902,TCS,SELL,75
evt-0903,HDFCBANK,BUY,60
evt-0904,ICICIBANK,SELL,45
evt-0905,INFY,BUY,30
evt-0906,BHARTIARTL,SELL,15
evt-0907,SBIN,BUY,100
evt-0908,LT,SELL,85
evt-0909,ITC,BUY,70
evt-0910,HINDUNILVR,SELL,55
evt-0911,AXISBANK,BUY,40
evt-0912,KOTAKBANK,SELL,25
evt-0913,BAJFINANCE,BUY,10
evt-0914,MARUTI,SELL,95
evt-0915,SUNPHARMA,BUY,80
evt-0916,NTPC,SELL,65
evt-0917,TATAMOTORS,BUY,50
evt-0918,TATASTEEL,SELL,35
evt-0919,ADANIENT,BUY,20
evt-0920,ASIANPAINT,SELL,5
evt-0921,RELIANCE,BUY,90
evt-0922,TCS,SELL,75
evt-0923,HDFCBANK,BUY,60
evt-0924,ICICIBANK,SELL,45
evt-0925,INFY,BUY,30
evt-0926,BHARTIARTL,SELL,15
evt-0927,SBIN,BUY,100
evt-0928,LT,SELL,85
evt-0929,ITC,BUY,70
evt-0930,HINDUNILVR,SELL,55
evt-0931,AXISBANK,BUY,40
evt-0932,KOTAKBANK,SELL,25
evt-0933,BAJFINANCE,BUY,10
evt-0934,MARUTI,SELL,95
evt-0935,SUNPHARMA,BUY,80
evt-0936,NTPC,SELL,65
evt-0937,TATAMOTORS,BUY,50
evt-0938,TATASTEEL,SELL,35
evt-0939,ADANIENT,BUY,20
evt-0940,ASIANPAINT,SELL,5
evt-0941,RELIANCE,BUY,90
evt-0942,TCS,SELL,75
evt-0943,HDFCBANK,BUY,60
evt-0944,ICICIBANK,SELL,45
evt-0945,INFY,BUY,30
evt-0946,BHARTIARTL,SELL,15
evt-0947,SBIN,BUY,100
evt-0948,LT,SELL,85
evt-0949,ITC,BUY,70
evt-0950,HINDUNILVR,SELL,55
evt-0951,AXISBANK,BUY,40
evt-0952,KOTAKBANK,SELL,25
evt-0953,BAJFINANCE,BUY,10
evt-0954,MARUTI,SELL,95
evt-0955,SUNPHARMA,BUY,80
evt-0956,NTPC,SELL,65
evt-0957,TATAMOTORS,BUY,50
evt-0958,TATASTEEL,SELL,35
evt-0959,ADANIENT,BUY,20
evt-0960,ASIANPAINT,SELL,5
evt-0961,RELIANCE,BUY,90
evt-0962,TCS,SELL,75
evt-0963,HDFCBANK,BUY,60
evt-0964,ICICIBANK,SELL,45
evt-0965,INFY,BUY,30
evt-0966,BHARTIARTL,SELL,15
evt-0967,SBIN,BUY,100
evt-0968,LT,SELL,85
evt-0969,ITC,BUY,70
evt-0970,HINDUNILVR,SELL,55
evt-0971,AXISBANK,BUY,40
evt-0972,KOTAKBANK,SELL,25
evt-0973,BAJFINANCE,BUY,10
evt-0974,MARUTI,SELL,95
evt-0975,SUNPHARMA,BUY,80
evt-0976,NTPC,SELL,65
evt-0977,TATAMOTORS,BUY,50
evt-0978,TATASTEEL,SELL,35
evt-0979,ADANIENT,BUY,20
evt-0980,ASIANPAINT,SELL,5
evt-0981,RELIANCE,BUY,90
evt-0982,TCS,SELL,75
evt-0983,HDFCBANK,BUY,60
evt-0984,ICICIBANK,SELL,45
evt-0985,INFY,BUY,30
evt-0986,BHARTIARTL,SELL,15
evt-0987,SBIN,BUY,100
evt-0988,LT,SELL,85
evt-0989,ITC,BUY,70
evt-0990,HINDUNILVR,SELL,55
evt-0991,AXISBANK,BUY,40
evt-0992,KOTAKBANK,SELL,25
evt-0993,BAJFINANCE,BUY,10
evt-0994,MARUTI,SELL,95
evt-0995,SUNPHARMA,BUY,80
evt-0996,NTPC,SELL,65
evt-0997,TATAMOTORS,BUY,50
evt-0998,TATASTEEL,SELL,35
evt-0999,ADANIENT,BUY,20
evt-1000,ASIANPAINT,SELL,5
